SKU ID,MPN,URL,Original ATTR Name,Refered ATTR Name,ATTR Value,UOM,LOCAL URL,ATTR
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Refrigerant Type>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Remote Control Functions>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Seacoast Corrosion Protection>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Smart Connectivity>NA>LG ThinQ app.>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Sound Level>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Standards>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Voltage>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Voltage - Plug Type [MERCH]>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Wattage (W)>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Weight>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/air-conditioners/lg-lw1017ersm1-window-air-conditioner,,,,,file:///C:/python files/nivathitha code/static817LM5_0.pdf,Width>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Air Flow Direction>Air Discharge Type>Top Discharge>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Average Coverage Area [MERCH]>Estimated Cooling Area>450 sq. ft.>Square Feet
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Chassis Type>Type>Top Down>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Color>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Combined Energy Efficiency Ratio (CEER) Rating>CEER>11.4>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Compressor Type>Compressor>Rotary>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Control Type>Thermostat Control>Thermistor>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,"Cooling Capacity>BTU Performance (Cooling)>10,000>British Thermal Unit"
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Current (A)>Rated Amps (Cooling)>7.7>Ampere
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Dehumidification Rate>Dehumidification (Pts/Hr)>2.8>Pints per Hour
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Depth>NA>19 4/9”>Inch
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Duty Rating>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Fits Window Type>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Fits Window Width>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,For Use With>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Frequency (Hz)>Voltage / 60 Hz>60>Hertz
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Heating Method>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Height>Product Height (in) (W x H x D)>12 1/3”>Inch
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Includes>Window Installation Kit>Yes>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,"Key Features [MERCH]>NA>Smart Wi-Fi Enabled, Energy Save Function, LG ThinQ® Technology>NA"
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Maximum Wall Thickness>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Maximum Window Width>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Minimum Window Height>NA>NA>NA
817LM5,LW1017ERSM1,https://www.lg.com/us/support/products/documents/SpecSheet_LW1017ERSM1.pdf,,,,,file:///C:/python files/nivathitha code/static817LM5_1.pdf,Minimum Window Width>NA>NA>NA
